Age,Location1,Sex,HCN1_21_ratio,HCN1_24_ratio,HOXB9_44_ratio,HOXB9_47_ratio,HOXB9_58_ratio,HOXB9_60_ratio,HSPA2_34_ratio,HSPA2_41_ratio,HSPA2_60_ratio,HSPA2_74_ratio,IGF2BP3_36_ratio,IGF2BP3_51_ratio,IGF2BP3_58_ratio,MDGA2_40_ratio,MDGA2_43_ratio,MDGA2_45_ratio,MDGA2_58_ratio,MDGA2_73_ratio,OTP_62_ratio,OTP_73_ratio,PBX3_62_ratio,POU4F1_71_ratio,SLC12A5_54_ratio,SLC12A5_59_ratio,SLC12A5_61_ratio,SLC12A5_64_ratio,SLC12A5_86_ratio,SLC12A5_93_ratio
18,Eastern DPS,M,0.03535109,0.045645177,0.14712106,0.361510594,0.255017644,0.213542832,0.239608802,0.310077519,0.575308642,0.439698492,0.030519321,0.024402644,0.045029528,0.045487561,0.036063305,0.043440105,0.095366622,0.052247339,0.105500412,0.043942736,0.452284264,0.019536073,0.068599534,0.040735473,0.10899097,0.236352112,0.032633464,0.050393195
18.1,Western DPS,F,0.031501575,0.039289495,0.090902645,0.302236466,0.161842841,0.136812212,0.354651163,0.333333333,0.52173913,0.515923567,0.027403414,0.027956004,0.036241611,0.040486836,0.024629364,0.03427468,0.087021014,0.046179884,0.0875,0.024615385,0.428723243,0.012185736,0.074763075,0.037101115,0.106633213,0.194190085,0.046416938,0.060821741
17.1,Western DPS,M,0.024304539,0.032714412,0.072940353,0.311677062,0.143104044,0.117206548,0.306469921,0.302419355,0.674775075,0.532106966,0.034788109,0.027634961,0.031032299,0.028410372,0.024261138,0.018897288,0.081413911,0.042058166,0.088680303,0.029552491,0.452759905,0.012816979,0.09040404,0.044444444,0.09750515,0.161320102,0.025912839,0.040130658
7.1,Eastern DPS,M,0.024541462,0.01852335,0.083309919,0.262750518,0.12662069,0.125884802,0.232014642,0.256977109,0.552714222,0.410346406,0.021248916,0.019179304,0.026475694,0.029665264,0.025606208,0.029290348,0.065580286,0.031452723,0.052228079,0.02765856,0.443224424,0.013144735,0.071444036,0.035333979,0.076643808,0.177628908,0.043478261,0.047667968
7,Eastern DPS,M,0.034751773,0.026939655,0.099521892,0.331186525,0.179671968,0.170881322,0.212543554,0.262357414,0.538461538,0.415441176,0.024038462,0.030537459,0.024,0.027296937,0.017277571,0.028169014,0.060127645,0.044541626,0.040758217,0.020780908,0.433406227,0.014861518,0.045405792,0.042517325,0.070085752,0.133930051,0.022963089,0.047475761
9.1,Western DPS,F,0.033219609,0.033520565,0.075133777,0.305328749,0.130809316,0.135899617,0.24316839,0.25110424,0.62931126,0.45238869,0.013513514,0.023809524,0.030178838,0.035090115,0.021505376,0.023902243,0.06632237,0.036668905,0.065168162,0.026044267,0.418320067,0.013767744,0.055699482,0.028421946,0.062150328,0.146129348,0.036812144,0.03840399
9.1,Western DPS,F,0.024638912,0.025684932,0.091360477,0.360078066,0.180886636,0.147265836,0.216455305,0.242574257,0.546730969,0.459866221,0.021609043,0.028667791,0.014705882,0.033132933,0.02074364,0.021405121,0.057070975,0.028367859,0.078387458,0.019144144,0.460497115,0.003241491,0.073145838,0.040523374,0.09033198,0.182065787,0.036799315,0.052496799
19.1,Western DPS,F,0.037460568,0.028486647,0.152988094,0.3709041,0.266433607,0.234123992,0.354133361,0.353733577,0.582812837,0.425151016,0.024375975,0.018116663,0.040376323,0.043588975,0.017841727,0.03662977,0.085912916,0.056637937,0.101504361,0.029547183,0.436038133,0.008332248,0.068701586,0.041286307,0.110156314,0.209196731,0.042075025,0.056605365
13.1,Western DPS,M,0.017481203,0.028392959,0.088694285,0.293084523,0.136461938,0.169386423,0.230818688,0.249794847,0.591156302,0.443475452,0.024911032,0.02829426,0.027240426,0.029257951,0.02449827,0.016129032,0.053042122,0.035609552,0.069804967,0.022749409,0.435913123,0.017350466,0.050933249,0.034254706,0.06697153,0.135066865,0.029689403,0.040420736
15.1,Western DPS,F,0.033482143,0.028131417,0.050136628,0.224798033,0.168598525,0.137548206,0.217737304,0.251857821,0.580661885,0.424991144,0.018044027,0.015112422,0.018274854,0.022737748,0.019116775,0.034493101,0.054706235,0.045054453,0.094566222,0.033751767,0.452790866,0.013861207,0.063784074,0.051037407,0.099702911,0.214217214,0.034474357,0.055866602
19.1,Western DPS,F,0.03785489,0.029584463,0.136552873,0.294705158,0.19778312,0.143650149,0.256547245,0.285389426,0.586168924,0.391888913,0.01,0.026814609,0.024047187,0.032473082,0.032680823,0.023937061,0.117199391,0.058127915,Nan,Nan,0.43885527,0.007633588,0.076143602,0.055084067,0.125333333,0.21186549,0.033281331,0.05774483
23.1,Western DPS,F,0.024554224,0.024354024,0.112507481,0.429508197,0.190703218,0.176190476,0.284284777,0.327664194,0.678874735,0.467124277,0.020013803,0.009852217,0.054709141,0.029530201,0.026370217,0.035723598,0.100078802,0.040906722,0.105293358,0.034822321,0.449180328,0.010576415,0.084507042,0.053384419,0.1269107,0.222986645,0.041939444,0.064720294
9.1,Western DPS,F,0.023221448,0.023334748,0.085952346,0.306850892,0.10966811,0.122469933,0.200069509,0.172496984,0.504361211,0.392236842,0.007949126,0.013057671,0.024973433,0.015240121,0.032068966,0.025921354,0.077908218,0.025136228,0.063847332,0.022453514,0.454371785,0.018576661,0.06189914,0.034016162,0.099969098,0.187206021,0.038510503,0.056558935
